species,acronym,S1_LI1_DAY0,S1_LI2_DAY0,S1_LI3_DAY0,S1_X1_DAY0,S1_X2_DAY0,S1_X3_DAY0,S1_HI1_DAY0,S1_HI2_DAY0,S1_HI3_DAY0,S1_LI1_DAY15,S1_LI2_DAY15,S1_LI3_DAY15,S1_X1_DAY15,S1_X2_DAY15,S1_X3_DAY15,S1_HI1_DAY15,S1_HI2_DAY15,S1_HI3_DAY15,S1_LI1_DAY30,S1_LI2_DAY30,S1_LI3_DAY30,S1_X1_DAY30,S1_X2_DAY30,S1_X3_DAY30,S1_HI1_DAY30,S1_HI2_DAY30,S1_HI3_DAY30,S1_LI1_DAY45,S1_LI2_DAY45,S1_LI3_DAY45,S1_X1_DAY45,S1_X2_DAY45,S1_X3_DAY45,S1_HI1_DAY45,S1_HI2_DAY45,S1_HI3_DAY45,S2_LI1_DAY0,S2_LI2_DAY0,S2_LI3_DAY0,S2_X1_DAY0,S2_X2_DAY0,S2_X3_DAY0,S2_HI1_DAY0,S2_HI2_DAY0,S2_HI3_DAY0,S2_LI1_DAY15,S2_LI2_DAY15,S2_LI3_DAY15,S2_X1_DAY15,S2_X2_DAY15,S2_X3_DAY15,S2_HI1_DAY15,S2_HI2_DAY15,S2_HI3_DAY15,S2_LI1_DAY30,S2_LI2_DAY30,S2_LI3_DAY30,S2_X1_DAY30,S2_X2_DAY30,S2_X3_DAY30,S2_HI1_DAY30,S2_HI2_DAY30,S2_HI3_DAY30,S2_LI1_DAY45,S2_LI2_DAY45,S2_LI3_DAY45,S2_X1_DAY45,S2_X2_DAY45,S2_X3_DAY45,S2_HI1_DAY45,S2_HI2_DAY45,S2_HI3_DAY45,S3_LI1_DAY0,S3_LI2_DAY0,S3_LI3_DAY0,S3_X1_DAY0,S3_X2_DAY0,S3_X3_DAY0,S3_HI1_DAY0,S3_HI2_DAY0,S3_HI3_DAY0,S3_LI1_DAY15,S3_LI2_DAY15,S3_LI3_DAY15,S3_X1_DAY15,S3_X2_DAY15,S3_X3_DAY15,S3_HI1_DAY15,S3_HI2_DAY15,S3_HI3_DAY15,S3_LI1_DAY30,S3_LI2_DAY30,S3_LI3_DAY30,S3_X1_DAY30,S3_X2_DAY30,S3_X3_DAY30,S3_HI1_DAY30,S3_HI2_DAY30,S3_HI3_DAY30,S3_LI1_DAY45,S3_LI2_DAY45,S3_LI3_DAY45,S3_X1_DAY45,S3_X2_DAY45,S3_X3_DAY45,S3_HI1_DAY45,S3_HI2_DAY45,S3_HI3_DAY45
Achnanthidium minutissimum  ,ADMI,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,23,1,1,1,5,0,1,0,0,0,0,2,1,0,0,0,0,3,6,1,0,0,0,0,0,0,2,0,0,1,1,0,5,0,5,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Achnanthes exigua var. exigua ,AEXG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphora libyca  ,ALIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,4,2,0,1,0
Anomoeoneis sphaerophora  ,ASPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,4,0,0,0,0,0,0,1,1,2,0,0,0,1,0,2,0,2,10,0,0,0,4,2,0,2,1,3
Craticula ambigua  ,CAMB,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,2,0,0,1,1,0,0,0,0,0
Caloneis bacillum  ,CBAC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Craticula halophila  ,CHAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclotella meneghiniana  ,CMEN,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,126,98,35,40,27,0,0,0
Craticula molestiformis  ,CMLF,4,0,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,2,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0
Caloneis molaris  ,CMOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula var. placentula ,CPLA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cocconeis placentula var. euglypta ,CPLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craticula accomoda  ,CRAC,3,0,0,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,6,0,0,0,1,3,0,0,2,6,0,2,0,0,1,0,0,43,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,3,1,7,0,0,0,1,0,0,2,10,1,0,0,3,2,1,0,1,1,3
